"date","price","rate"
2015-11-15,48697.1,-0.0183570390514429
2015-11-22,49434.43,0.0150276649294625
2015-11-29,47996.8,-0.029512802971416
2015-12-06,46537.67,-0.0308722498587031
2015-12-13,44220.32,-0.0510776802125328
2015-12-20,45996.81,0.0393876343106694
2015-12-27,46564.08,0.0122573821916401
2016-01-03,46467.38,-0.0020788674030392
2016-01-10,43770.51,-0.0597902580957026
2016-01-17,43719.53,-0.00116538992940995
2016-01-24,43039.42,-0.0156784730955266
2016-01-31,44290.05,0.028643606931178
2016-02-07,44671.66,0.00857924922194897
2016-02-14,43849.4,-0.0185782603651088
2016-02-21,45455.8,0.0359793895286309
2016-02-28,45770.44,0.00689804266020566
2016-03-06,46400.67,0.013675430879978
2016-03-13,47182.13,0.0167013204257476
2016-03-20,48211.45,0.0215813255039183
2016-03-27,47778.01,-0.0090310529081048
2016-04-03,48506.46,0.0151314931452511
2016-04-10,47556.03,-0.0197883901186184
2016-04-17,48095.43,0.0112785673716065
2016-04-24,48446.39,0.00727066355392836
2016-05-01,47641.99,-0.016743310521683
2016-05-08,46663.67,-0.0207485976415214
2016-05-15,46063.67,-0.0129413476953104
2016-05-22,45784.76,-0.0060732852438381
2016-05-29,46634.55,0.0183903980728104
2016-06-05,45523.93,-0.0241035609593254
2016-06-12,45348.2,-0.0038676372845341
2016-06-19,44606.86,-0.0164828256260474
2016-06-26,44773.75,0.00373437133506727
2016-07-03,44754.05,-0.000440086773448201
2016-07-10,44024.66,-0.0164320119513057
2016-07-17,45540.6,0.0338543043116442
2016-07-24,46541.69,0.021744234284645
2016-07-31,46171.72,-0.00798098061111752
2016-08-07,47604.22,0.0305539233170009
2016-08-14,48631.44,0.0213488225584086
2016-08-21,47536.72,-0.0227677703074107
2016-08-28,47456.36,-0.00169191311976924
2016-09-04,47405.71,-0.00106786632029454
2016-09-11,47326.14,-0.00167990002755403
2016-09-18,47166.67,-0.00337528646671892
2016-09-25,47865.78,0.0147133450110104
2016-10-02,47084.94,-0.016447639427529
2016-10-09,47762.81,0.0142940985294437
2016-10-16,47285.64,-0.0100406478759467
2016-10-23,47931.14,0.0135587422511527
2016-10-30,49070.85,0.0234997745698813
2016-11-06,47610.85,-0.0302044957053678
2016-11-13,48447.59,0.017421918658334
2016-11-20,46910.91,-0.0322323240964657
2016-11-27,48579.08,0.0349427145591328
2016-12-04,48474.03,-0.0021647949462924
